Name,City,State,Rank,Website
Indian Institute of Technology Madras,Chennai,Tamil Nadu,1,https://www.iitm.ac.in​
Indian Institute of Science,Bengaluru,Karnataka,2,https://iisc.ac.in ​
Indian Institute of Technology Bombay,Mumbai,Maharashtra,3,https://www.iitb.ac.in ​
Indian Institute of Technology Delhi,New Delhi,Delhi,4,https://www.iitd.ac.in ​
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,5,https://www.iitk.ac.in ​
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,6,https://www.iitkgp.ac.in ​
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,7,https://www.iitr.ac.in ​
"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,8,https://www.aiims.edu ​
Jawaharlal Nehru University,New Delhi,Delhi,9,https://www.jnu.ac.in ​
Banaras Hindu University,Varanasi,Uttar Pradesh,10,https://www.iitbhu.ac.in ​
Indian Institute of Technology Guwahati,Guwahati,Assam,11,https://www.iitg.ac.in ​
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,12,https://iith.ac.in ​
Jamia Millia Islamia,New Delhi,Delhi,13,https://jmi.ac.in ​
Manipal Academy of Higher Education-Manipal,Manipal,Karnataka,14,https://www.manipal.edu ​
University of Delhi,Delhi,Delhi,15,https://www.du.ac.in ​
Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,16,https://www.bits-pilani.ac.in ​
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,17,https://www.amrita.edu ​
Jadavpur University,Kolkata,West Bengal,18,https://www.jaduniv.edu.in ​
Aligarh Muslim University,Aligarh,Uttar Pradesh,19,https://www.amu.ac.in ​
Homi Bhabha National Institute,Mumbai,Maharashtra,20,https://www.hbni.ac.in ​
Vellore Institute of Technology,Vellore,Tamil Nadu,21,https://vit.ac.in ​
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,22,https://www.srmist.edu.in ​
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,23,https://www.saveetha.com ​
Indian Agricultural Research Institute,New Delhi,Delhi,24,https://www.iari.res.in ​
Siksha `O` Anusandhan,Bhubaneswar,Odisha,25,https://www.soa.ac.in ​
University of Hyderabad,Hyderabad,Telangana,26,https://uohyd.ac.in ​
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,27,https://kiit.ac.in ​
Indian Institute of Technology Indore,Indore,Madhya Pradesh,27,https://www.iiti.ac.in ​
Anna University,Chennai,Tamil Nadu,29,https://www.annauniv.edu
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,30,https://www.nitt.edu ​
Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,31,https://www.iitbhu.ac.in ​
Chandigarh University,Mohali,Punjab,32,https://www.cuchd.in ​
Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,33,https://pgimer.edu.in ​
National Institute of Technology Rourkela,Rourkela,Odisha,34,https://www.nitrkl.ac.in ​
Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,35,https://www.iitism.ac.in ​
Indian Institute of Technology Patna,Patna,Bihar,36,https://www.iitp.ac.in ​
Amity University,Gautam Budh Nagar,Uttar Pradesh,37,https://www.amity.edu ​
JSS Academy of Higher Education and Research,Mysuru,Karnataka,38,https://www.jssuni.edu.in ​
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,39,https://www.iitgn.ac.in ​
Symbiosis International,Pune,Maharashtra,40,https://www.siu.edu.in ​
"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,41,https://www.andhrauniversity.edu.in ​
Kerala University,Thiruvananthapuram,Kerala,42,https://www.keralauniversity.ac.in ​
Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Pondicherry,43,https://jipmer.edu.in ​
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,44,https://www.thapar.edu ​
National Institute of Technology Calicut,Kozhikode,Kerala,45,https://nitc.ac.in ​
